County,Trump/Pence,Biden/Harris,PopulationDensity,Population,RepVoteShare,DemVoteShare,OtherVoteShare,Margin,StateComparison
McDonald,7465,1437,42.3,22851,0.82376959,0.15857427,0.01765615,0.66519532,0.153823578
Mercer,1541,222,8.2,3735,0.8647587,0.12457912,0.01066218,0.74017957,0.228807828
Miller,10175,2038,41.5,24905,0.8208293,0.16440787,0.01476283,0.65642143,0.145049688
Mississippi,3537,1178,33.3,14276,0.74369218,0.24768713,0.00862069,0.49600505,-0.015366692
Moniteau,5738,1307,37.5,15719,0.80061392,0.18236361,0.01702246,0.61825031,0.106878568
Monroe,3466,931,13,8725,0.77591225,0.20841728,0.01567047,0.56749496,0.056123218
Montgomery,4457,1206,22.2,12054,0.77351614,0.20930233,0.01718153,0.56421381,0.052842068
Morgan,7439,1924,33.1,20314,0.78437368,0.20286799,0.01275833,0.58150569,0.070133948
New Madrid,5447,1748,26.7,18568,0.74955277,0.24053942,0.0099078,0.50901335,-0.002358392
Newton,22090,5793,93.7,58683,0.77751575,0.2038999,0.01858435,0.57361585,0.062244108
Nodaway,6855,2849,26.5,23296,0.69277413,0.28792319,0.01930268,0.40485093,-0.106520812
Oregon,3847,823,13.9,10975,0.81177464,0.17366533,0.01456003,0.63810931,0.126737568
Osage,6341,1031,22.6,13812,0.85045601,0.1382779,0.01126609,0.71217811,0.200806368
Ozark,4064,752,12.7,9612,0.83449692,0.15441478,0.0110883,0.68008214,0.168710398
Pemiscot,4116,1556,35.1,18010,0.71870089,0.27169548,0.00960363,0.44700541,-0.064366332
Perry,7634,1661,39.3,19042,0.80962987,0.17615866,0.01421148,0.63347121,0.122099468
Pettis,13835,4776,61.5,42213,0.72548506,0.25044573,0.02406922,0.47503933,-0.036332412
Phelps,13438,5619,66.9,45091,0.6877527,0.28757869,0.02466861,0.40017401,-0.111197732
Pike,5856,1717,27.1,18573,0.76190476,0.22339318,0.01470206,0.53851158,0.027139838
Platte,29251,28111,215.9,92149,0.49982058,0.48034106,0.01983835,0.01947952,-0.491892222
Polk,11849,2883,48.4,31122,0.78673395,0.19142155,0.0218445,0.5953124,0.083940658
Pulaski,10326,3735,96.7,53343,0.71683443,0.25928497,0.0238806,0.45754946,-0.053822282
Putnam,1984,361,9.5,4911,0.83996613,0.15283658,0.00719729,0.68712955,0.175757808
Ralls,4396,1205,21.1,10224,0.77503526,0.21244711,0.01251763,0.56258815,0.051216408
Randolph,8018,2485,51.7,25207,0.7453751,0.23101236,0.02361253,0.51436274,0.002990998
Ray,8328,3107,40.4,23166,0.71460443,0.26660374,0.01879183,0.44800069,-0.063371052
Reynolds,2733,529,8.2,6644,0.82868405,0.16040024,0.01091571,0.66828381,0.156912068
Ripley,4838,833,22.3,14056,0.84639608,0.14573128,0.00787264,0.7006648,0.189293058
Saline,6447,2903,30.5,23363,0.67763296,0.30512928,0.01723775,0.37250368,-0.138868062
Schuyler,1606,373,14.2,4388,0.8017973,0.18622067,0.01198203,0.61557664,0.104204898
Scotland,1560,387,11.1,4862,0.78589421,0.19496222,0.01914358,0.59093199,0.079560248
Scott,13769,3753,91.9,39137,0.77580572,0.21146045,0.01273383,0.56434528,0.052973538
Shannon,3164,706,8.3,8360,0.80962129,0.18065507,0.00972364,0.62896622,0.117594478
Shelby,2699,592,12.4,6218,0.80447094,0.17645306,0.01907601,0.62801788,0.116646138
St. Charles,128193,89346,624,369781,0.57699111,0.40214246,0.02086643,0.17484866,-0.336523082
St. Clair,3930,988,13.7,9609,0.79042639,0.19871279,0.01086082,0.5917136,0.080341858
St. Francois,20506,7044,144.7,65813,0.73079116,0.2510335,0.01817534,0.47975766,-0.031614082
St. Louis,196808,322802,4826.7,318727,0.37268949,0.61128059,0.01602992,-0.2385911,-0.749962842
St. Louis City,21185,108385,1912.8,1000423,0.16008131,0.81899516,0.02092354,-0.6589139,-1.170285642
Ste. Genevieve,6627,2713,35.6,18017,0.6989769,0.28615125,0.01487185,0.41282565,-0.098546092
Stoddard,11460,1814,36,29864,0.85458613,0.13527218,0.01014169,0.71931394,0.207942198
Stone,14716,3486,61.9,31593,0.79913114,0.1893022,0.01156666,0.60982894,0.098457198
Sullivan,1974,478,10.1,6551,0.79822078,0.19328751,0.00849171,0.60493328,0.093561538
Taney,20426,5325,81.5,53086,0.77842988,0.20293445,0.01863567,0.57549543,0.064123688
Texas,9478,1716,21.9,25796,0.83639252,0.15142958,0.0121779,0.68496294,0.173591198
Vernon,7135,1902,25.1,20984,0.77782623,0.20734765,0.01482612,0.57047858,0.059106838
Warren,13222,4769,75,32847,0.71964295,0.25956567,0.02079138,0.46007729,-0.051294452
Washington,8046,1804,32.9,25113,0.80556668,0.18061674,0.01381658,0.62494994,0.113578198
Wayne,4984,844,17.3,13430,0.84761905,0.14353741,0.00884354,0.70408163,0.192709888
Webster,14874,3572,61.4,36461,0.79235031,0.1902834,0.01736629,0.60206691,0.090695168
Worth,877,215,7.9,2102,0.79223126,0.19421861,0.01355014,0.59801265,0.086640908
Wright,7452,1167,27.2,18565,0.85175449,0.13338667,0.01485884,0.71836781,0.206996068
