team,seed,,position,newPos,round,favorite,regionVal,region,rs,direction
Whole milk,10,,20,95,1,0,4,midwest,midwest10,down
Whole wheat bread,2,,22,97,1,1,4,midwest,midwest2,
White bread,15,,23,98,1,0,4,midwest,midwest15,up
Brie,16,,2.5,77.5,2,1,4,midwest,midwest1,
Eggplant,9,,3.5,78.5,2,0,4,midwest,midwest9,down
Ginger,12,,8.5,83.5,2,1,4,midwest,midwest5,
Bell peppers,13,,9.5,84.5,2,0,4,midwest,midwest4,up
Broccoli,11,,14.5,89.5,2,1,4,midwest,midwest6,
Kiwi,14,,15.5,90.5,2,0,4,midwest,midwest3,down
Whole milk,10,,20.5,95.5,2,1,4,midwest,midwest7,
Whole wheat bread,15,,21.5,96.5,2,0,4,midwest,midwest2,up
Brie,16,,5.5,80.5,3,1,4,midwest,midwest1,
Bell peppers,13,,6.5,81.5,3,0,4,midwest,midwest5,down
Broccoli,11,,17.5,92.5,3,1,4,midwest,midwest3,
Whole wheat bread,15,,18.5,93.5,3,0,4,midwest,midwest2,up
Brie,16,,11.5,86.5,4,1,4,midwest,midwest5,
Broccoli,11,,12.5,87.5,4,1,4,midwest,midwest3,
Broccoli,11,,1,101,1,1,4,midwest,midwest3,
Cream cheese,4,,,102.5,2,1,5,,,
Pineapple,6,,,103.5,2,1,5,,,
